Input Text Index,Tempo di inferenza,Uso CPU prima,Uso CPU dopo,Uso memoria prima,Uso memoria dopo,Score
373,2.437039852142334,27.4,34.2,3256041472,3228991488,18.91776466369629
374,2.603308916091919,17.9,32.8,3214606336,3221225472,28.83816909790039
376,2.148926258087158,20.7,35.6,3230924800,3229745152,3.46077823638916
378,2.528290033340454,25.8,34.2,3239870464,3194863616,17.48419189453125
379,2.3451809883117676,16.4,35.0,3202007040,3216883712,14.9677734375
380,2.378679037094116,22.7,35.3,3207266304,3191783424,19.281484603881836
381,2.523751735687256,20.2,45.1,3230564352,3200598016,22.185791015625
383,2.151409864425659,23.6,35.5,3209314304,3243622400,1.5674909353256226
385,2.4258852005004883,22.8,38.0,3250995200,3224289280,16.55105972290039
386,2.3870809078216553,23.9,35.0,3109945344,3202777088,13.892662048339844
387,2.485643148422241,21.2,39.0,3152576512,3193274368,15.007580757141113
388,2.328622817993164,19.3,36.3,3211427840,3174891520,9.205397605895996
390,2.156266927719116,18.1,35.9,3187146752,3230564352,1.7705495357513428
392,2.3988490104675293,43.6,41.1,3224485888,3215261696,17.08542251586914
393,2.5645978450775146,32.1,56.1,3101818880,3100295168,13.968596458435059
394,2.486114025115967,30.1,33.5,3118432256,3211214848,18.658422470092773
396,2.0748589038848877,16.7,35.8,3216949248,3228090368,2.117884874343872
398,2.4148130416870117,23.0,33.8,3267018752,3202007040,16.78154945373535
399,2.346029043197632,14.4,39.5,3209822208,3241000960,19.536523818969727
400,2.268203020095825,14.5,34.8,3251912704,3217326080,14.727876663208008
401,2.3508858680725098,18.7,35.1,3238854656,3258548224,18.26692771911621
402,2.412984848022461,22.7,35.4,3260874752,3216654336,23.51041030883789
403,2.4625511169433594,19.5,40.8,3232088064,3202580480,20.471412658691406
404,2.230630874633789,18.4,34.9,3220684800,3208069120,16.033035278320312
406,2.1125340461730957,24.2,35.0,3232759808,3273441280,1.6969013214111328
408,2.2817399501800537,20.2,40.7,3278716928,3266641920,16.395612716674805
409,2.288372039794922,16.4,39.4,3242115072,3214557184,18.697860717773438
410,2.3517541885375977,21.2,34.7,3238608896,3187326976,15.451711654663086
411,2.219736099243164,15.2,35.6,3225763840,3203334144,17.161741256713867
413,2.069524049758911,24.3,35.1,3233480704,3241820160,2.5232293605804443
415,2.3039982318878174,26.6,39.9,3265871872,3227090944,19.145069122314453
416,2.2658660411834717,22.7,32.5,3232464896,3162439680,11.545117378234863
417,2.3957359790802,28.1,34.1,3228106752,3185328128,15.565179824829102
419,2.1170451641082764,20.0,36.9,3234152448,3206053888,1.918641209602356
421,2.1955080032348633,21.3,40.1,3232120832,3227582464,9.10721206665039
422,2.234168291091919,18.5,36.6,3235758080,3199303680,9.049766540527344
423,2.5151002407073975,19.7,33.0,3223846912,3202678784,15.883240699768066
424,2.309636116027832,18.2,34.6,3148054528,3183968256,13.692682266235352
425,2.5455727577209473,20.0,39.5,3199926272,3179970560,16.434608459472656
426,2.897495746612549,37.5,58.5,3131588608,2931965952,14.021894454956055
427,3.118669271469116,68.1,65.0,2871918592,2983116800,12.09572696685791
429,2.5160257816314697,63.9,73.3,2878324736,3090006016,3.594076156616211
431,2.6808478832244873,62.3,87.2,2882404352,2842951680,18.286184310913086
432,2.5337038040161133,73.3,81.5,2719924224,3078504448,13.558791160583496
433,2.7425408363342285,64.4,73.7,2876407808,3001384960,16.368911743164062
434,2.384856939315796,64.3,52.0,2837118976,3073474560,5.742270469665527
436,2.3441710472106934,43.9,63.3,3108831232,3095756800,1.9017624855041504
438,2.6164612770080566,49.9,55.4,2823766016,3025256448,12.568557739257812
440,2.5648560523986816,58.0,49.2,3058368512,3045638144,1.5122781991958618
442,2.562448740005493,42.7,39.9,2940731392,3000270848,9.357002258300781
443,2.547827959060669,26.5,39.7,2875277312,3104276480,13.145319938659668
444,2.6704299449920654,37.5,42.8,3126116352,2945466368,14.230979919433594
447,2.3107051849365234,38.6,39.3,2830008320,3107536896,1.5159562826156616
449,2.32893705368042,34.4,40.5,3155066880,3125133312,9.543240547180176
450,2.3191170692443848,27.6,39.2,3085320192,3134193664,9.160038948059082
452,2.2309281826019287,34.3,43.3,3166896128,3186688000,1.5070292949676514
455,2.261461019515991,33.5,40.0,3137486848,3135193088,3.2930026054382324
457,2.4405791759490967,27.2,34.5,3163504640,3154526208,19.431659698486328
458,2.4689443111419678,28.3,44.1,3145531392,3117154304,16.682533264160156
460,1.1419188976287842,28.5,37.5,3132981248,3083501568,6.708136081695557
462,2.8863470554351807,29.1,38.5,3066281984,3061268480,13.500615119934082
463,2.344505786895752,26.4,39.7,3089973248,3005579264,12.234847068786621
464,2.432704210281372,33.2,40.0,2943008768,3077963776,13.269457817077637
466,2.166161298751831,27.4,48.3,3100180480,3167191040,2.1209280490875244
468,2.3791308403015137,43.4,39.6,2911109120,3116007424,12.528778076171875
470,2.1534321308135986,33.1,41.4,3135881216,3134046208,3.901064395904541
472,2.559736728668213,39.2,37.8,2921709568,3111960576,17.570770263671875
473,2.626847982406616,29.5,36.8,3097591808,3035889664,18.08971405029297
474,2.264885425567627,29.9,40.1,3046440960,3094773760,5.83339786529541
475,2.3433570861816406,30.3,42.9,3168157696,3206299648,9.137336730957031
477,2.1318039894104004,35.6,37.8,3209248768,3185344512,1.5208574533462524
480,2.223189115524292,32.3,41.5,3193487360,3145547776,2.807842969894409
482,2.352774143218994,36.0,39.0,3112337408,3046293504,13.9108247756958
483,2.250262975692749,32.8,45.0,3141173248,3138256896,8.947025299072266
485,2.2117812633514404,40.4,42.9,3164717056,3132473344,1.5363705158233643
487,2.3769588470458984,28.9,42.7,3188998144,3118186496,11.512883186340332
489,2.193068027496338,34.6,40.8,3111895040,3079094272,1.6172316074371338
491,2.197202205657959,35.8,39.5,3170025472,3181002752,4.867434978485107
492,2.232465982437134,34.5,40.3,3145695232,3117842432,3.8844430446624756
493,2.1849100589752197,42.5,39.0,3140157440,3116384256,3.5505528450012207
494,2.2562739849090576,32.1,35.9,2956656640,3109142528,2.7426669597625732
496,2.123734951019287,28.7,41.1,3136077824,3112239104,1.6190590858459473
498,2.3188421726226807,28.9,39.5,3162701824,3134947328,4.544644355773926
499,2.1032309532165527,28.8,37.2,3070148608,3063824384,4.443574905395508
500,2.1405980587005615,29.6,37.5,3136421888,3087663104,4.6807966232299805
501,2.1933951377868652,26.9,38.0,3160948736,3168403456,3.7307960987091064
502,2.222180128097534,32.5,40.0,3177447424,3062038528,4.694604396820068
503,2.214035987854004,31.3,43.0,2963816448,3137224704,3.1748857498168945
504,2.3118109703063965,31.4,39.8,3115810816,3138945024,3.837008237838745
505,2.286842107772827,32.7,44.8,3121348608,3120807936,3.734734296798706
506,1.104923963546753,32.4,44.6,3036921856,3110060032,4.014379501342773
507,2.3649489879608154,39.5,44.2,3101933568,3123478528,3.1974260807037354
508,2.1295089721679688,28.8,42.6,2983313408,3125035008,3.099811315536499
509,2.1501221656799316,31.2,40.5,3166420992,3116941312,2.88222599029541
511,2.114177942276001,35.7,42.6,3162537984,3152035840,1.5233304500579834
514,2.151674747467041,32.3,43.4,3153887232,3152642048,1.5655263662338257
516,2.1452291011810303,33.7,46.9,3173400576,3146301440,1.7081072330474854
517,2.122055768966675,32.3,37.8,3184328704,3103948800,3.219435453414917
518,2.2469959259033203,33.6,39.4,3069001728,3112927232,1.4844331741333008
519,0.8048200607299805,40.5,39.2,3038216192,3083403264,4.633584022521973
520,2.3260669708251953,27.9,51.8,2979119104,3117465600,2.28305983543396
521,2.239577293395996,40.8,39.3,2929868800,3135651840,2.0904934406280518
522,2.1586549282073975,37.0,53.0,3072049152,3089907712,2.5125482082366943
523,0.7425506114959717,35.4,40.6,2975514624,3102818304,5.138799667358398
524,0.7818670272827148,29.1,47.8,3093987328,3116220416,5.268299579620361
525,0.8214449882507324,33.1,48.0,3125018624,3154968576,4.891382694244385
526,2.4301791191101074,33.6,62.3,3136847872,2951856128,1.995345950126648
527,0.9044756889343262,29.9,37.7,2871443456,3077537792,5.071267604827881
530,2.4484691619873047,34.6,48.1,3116695552,3121037312,1.6173160076141357
532,2.5263431072235107,40.2,42.7,2974629888,3108061184,12.418431282043457
533,2.3337128162384033,41.1,50.3,3120250880,3133014016,10.617932319641113
534,2.474045991897583,46.4,52.7,3079602176,2968993792,8.840198516845703
536,2.2674238681793213,50.4,51.0,2907144192,3107651584,1.702085018157959
538,2.3107640743255615,37.5,43.8,3119529984,3107684352,10.218167304992676
540,2.3304049968719482,50.4,39.3,3089121280,3092611072,1.7171202898025513
542,2.3013017177581787,40.2,44.3,3097608192,3000320000,7.264621257781982
543,2.542220115661621,39.6,46.9,2906685440,3057614848,15.401426315307617
544,2.4628798961639404,35.7,44.8,2845523968,3071164416,8.131152153015137
546,2.2511072158813477,31.1,42.8,3098787840,3119267840,1.7776823043823242
548,2.755244016647339,34.4,38.1,3127623680,3100164096,39.74781799316406
550,2.1889419555664062,27.5,44.1,3124248576,3088646144,1.707293152809143
552,2.315068006515503,32.2,40.4,3178774528,3117629440,59.468162536621094
553,2.418771982192993,33.8,37.6,3187638272,3133571072,18.24342918395996
554,2.367793321609497,30.2,50.2,3140927488,3152658432,15.748443603515625
555,2.2620699405670166,33.4,38.9,3140222976,3084648448,13.686850547790527
557,2.161543130874634,34.0,36.8,3143008256,3114385408,2.298527717590332
559,2.303698778152466,27.7,37.9,3173105664,3168845824,8.018472671508789
560,2.325629949569702,31.9,40.3,3155755008,3102638080,16.057266235351562
561,2.8103649616241455,33.4,41.5,3103866880,3011788800,27.339372634887695
562,2.4814469814300537,40.4,38.5,2855944192,3075915776,12.026591300964355
564,2.166264772415161,33.3,45.1,3101016064,3107454976,3.4765095710754395
566,2.3892369270324707,34.9,41.1,3046260736,3082338304,12.169511795043945
567,2.449906826019287,29.8,43.7,3126165504,2978267136,14.759626388549805
568,2.3171801567077637,35.8,41.3,3004039168,3035824128,10.262487411499023
569,2.420422077178955,34.4,55.1,3010314240,2915434496,13.677735328674316
